campaign_id,campaign_name,platform,channel,region,status,start_date,end_date,budget_allocated,created_at,funnel_stage
31,Growify | TOF | Conversion | US,Meta,Paid Social,usa,ACTIVE,2026-05-24,2026-05-24,27494.219716981133,2026-05-24 15:49:56,BOF
32,Growify | TOF | Conversion | US+CAN,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,3116.5195833125,2026-05-24 15:49:56,BOF
33,Growify | TOF | Conversion | US+UK,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,10952.001739086956,2026-05-24 15:49:56,BOF
34,Growify | TOF | Messaging | UAE,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,6810.305130739131,2026-05-24 15:49:56,BOF
35,Growify | TOF | Traffic-LPV | UAE,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,573.1561377777778,2026-05-24 15:49:56,BOF
36,Growify | TOF | Traffic-LPV | US,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,1494.2962745098039,2026-05-24 15:49:56,BOF
37,Growify | TOF | Traffic-ThruPlay | India,Meta,Paid Social,India,PAUSED,2026-05-24,2026-05-24,564.6385964736842,2026-05-24 15:49:56,BOF
38,growify | mof+bof | mehfil+fitoor+mahiya | lehenga+saree| sale | us+uae+can+aus,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,62.285000000000004,2026-05-24 15:49:56,BOF
39,growify | retarget | conversion | aus+can+uk+usa,Meta,Paid Social,USA,ACTIVE,2026-05-24,2026-05-24,236.32,2026-05-24 15:49:56,BOF
40,growify | retarget | conversion | india,Meta,Paid Social,India,ACTIVE,2026-05-24,2026-05-24,770.51,2026-05-24 15:49:56,BOF
41,growify | retarget | messaging | us+can,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,233.3979996,2026-05-24 15:49:56,BOF
42,growify | tof | 23/01/26 | abo | india | sales,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,0.0,2026-05-24 15:49:56,BOF
